3.7495,547
3.5586,145
3.6412,2012
2.7394,142
3.9193,1140
3.0844,1019
2.1290,93
3.1898,14910
2.6211,95
3.1807,249
3.0303,198
3.4176,546
4.5520,125
3.0254,118
3.2862,290
3.0986,2699
2.9032,7108
3.7844,10722
3.3247,539
3.1466,116
3.4633,218
2.2463,203
3.5561,615
2.9940,1333
3.9702,1207
2.7937,5861
3.5275,273
3.8233,39752
3.5985,523
3.7618,118413
3.0543,221
4.0717,1854
4.1687,6890
2.7130,108
3.1454,839
3.0202,939
3.9893,281
2.0511,802
2.4362,752
2.9206,491
1.6344,93
2.3281,128
2.5714,105
3.6840,8501
2.9687,2619
3.8065,6558
3.2664,2350
3.7109,3591
3.6667,231
3.0274,328
3.5667,90
3.7571,5147
1.6754,114
2.9874,159
3.0245,2406
3.6487,1833
3.6786,3562
3.6120,17405
2.7892,204
2.1492,295
2.9524,147
3.6241,290
3.2500,184
2.4211,95
2.3295,258
2.2952,166
2.5571,289
4.1426,2216
3.2931,116
2.7318,343
3.7700,1561
3.1453,179
3.8916,747
3.1856,388
2.5708,219
4.0904,2954
2.8528,13598
2.9416,4850
3.7654,3397
2.7993,274
3.4396,1249
3.0420,119
3.7293,18724
3.2213,2752
4.2519,266
1.9545,176
2.8120,117
3.8354,978
2.6913,878
3.4960,625
3.8959,567
3.5652,161
2.6897,174
3.6842,342
2.5829,935
3.3689,488
3.8718,11508
3.9154,130
2.4206,126
2.6538,78
3.3727,330
2.7364,330
3.6555,209
3.6977,3500
3.1302,192
4.0979,940
3.3522,829
3.1673,19018
2.6771,545
3.0338,2159
3.0829,30127
3.0042,239
3.8851,1393
3.3668,428
3.5390,666
3.5391,1126
3.4618,981
3.4330,19240
2.6979,96
2.4248,339
3.6162,99
2.9119,3382
2.8333,276
2.2663,169
3.3707,1729
3.2019,1184
2.6304,3014
3.2158,417
2.1481,756
2.2326,86
2.6950,705
3.0747,830
3.7378,2563
2.1313,99
4.1380,384
2.9750,120
2.3922,204
3.9422,6007
2.5104,96
2.5294,119
2.9762,126
2.8098,326
3.8530,38362
3.2007,289
3.0747,455
2.4208,366
2.1679,131
3.3049,22194
3.0161,62
2.8830,265
1.9545,176
3.9341,9162
2.7477,321
2.9430,158
3.5969,980
3.4952,8179
3.3787,705
2.6578,374
3.9329,164
3.0078,899
3.8536,649
2.9599,474
2.3782,193
2.6273,652
3.9170,4588
3.5563,9435
4.0922,9151
3.2424,1353
3.3881,335
3.1814,215
3.7425,6190
3.1273,322
3.5389,2236
3.3194,191
4.0038,90450
3.2667,210
2.6805,241
3.3729,1931
2.4580,286
3.8337,2418
2.6001,3558
3.0812,234
3.0123,163
3.3383,399
3.0575,2297
3.3780,291
3.0122,20049
2.7619,2549
3.3465,14137
2.0962,104
3.9322,98720
3.2000,275
2.9752,121
3.1347,646
3.2973,185
3.4675,154
3.4789,81260
3.0825,194
3.8932,35509
3.0078,129
3.4174,2724
3.1047,382
3.1563,96
2.7087,230
3.3021,513
3.8586,1096
2.8605,258
3.3588,2196
4.1608,4373
3.1514,687
3.5550,654
2.7787,890
3.4710,3482
2.9194,124
4.0626,5817
3.2182,8895
2.9529,425
3.2261,115
2.6036,111
3.2579,221
3.4348,161
2.6061,99
4.2112,24125
3.8315,1086
2.7337,7395
2.4444,189
3.4173,1330
2.8316,95
3.8313,652
3.0952,126
2.9427,768
3.1827,4976
3.2416,418
2.9691,97
3.0249,442
2.3200,125
3.3994,348
3.6784,2335
3.7680,2190
3.9485,5184
4.1579,43122
3.9112,2375
3.0252,119
3.8667,105
2.7802,91
3.1160,431
3.0322,653
3.6333,6161
3.1827,197
3.4386,773
3.8804,1204
3.3905,24387
4.0679,5050
2.0421,190
3.1424,4586
3.4407,12264
3.9116,27357
2.9512,164
3.2203,876
3.1561,205
3.6901,526
3.7104,4378
3.9844,900
2.8881,134
3.2500,308
3.0556,126
3.6867,1162
3.7115,5545
3.7563,21467
4.2894,36431
3.1046,478
2.9194,62
3.3625,32027
2.7674,774
3.6334,10603
2.0783,115
3.4459,157
2.1446,83
3.1696,737
3.3525,539
3.7551,3217
3.6667,393
3.7066,6376
2.2577,97
3.3266,14008
2.9162,191
3.5720,250
3.5470,1148
2.3348,4412
3.5845,47651
2.2222,108
3.8577,534
3.7598,408
3.1515,462
3.3147,28954
2.9138,116
2.8788,1956
3.1011,455
3.7066,76944
2.4554,112
2.6057,175
2.8180,879
3.0889,225
3.7683,3427
3.6244,12820
3.0558,197
3.4754,122
2.7800,200
3.0751,453
3.3618,445
3.5779,24835
3.7101,65477
3.6893,99812
3.4144,514
3.2936,109
4.3020,2520
3.0000,94
2.3368,95
3.0252,119
2.8145,124
2.7222,144
2.5891,898
2.4199,712
3.0614,391
4.1954,1121
3.2909,165
3.1854,178
2.8985,197
3.5879,66266
3.4609,27038
3.6220,47167
2.2550,149
3.7863,393
3.5576,39875
2.1812,149
3.1709,199
2.9730,2293
3.8894,1402
3.7848,553
2.9382,178
3.0510,1862
3.7032,1358
3.1739,92
3.6970,2604
4.1114,4175
3.0515,485
2.4352,108
3.4053,12739
2.4683,583
3.7958,1151
2.9380,129
2.5630,119
3.2548,20460
2.2817,142
2.0000,150
3.0690,1870
3.5124,77314
3.5389,3008
4.1544,4580
2.3940,2231
3.6358,35849
2.5132,3936
2.9544,1643
2.9350,123
3.2154,260
3.4971,350
3.1397,12437
3.4115,1395
2.8607,962
3.1095,484
3.8743,2004
2.3919,148
2.7765,85
3.3292,243
3.0266,2064
3.4249,193
2.5357,112
2.8379,8185
2.6329,158
3.0926,529
3.3920,6660
3.0823,158
2.7444,223
3.7371,1438
3.6278,9368
2.9496,1469
3.5153,588
2.3226,217
3.1125,391
2.6906,5242
3.5385,572
3.2333,60
3.3228,11893
3.5720,1617
3.9879,1822
3.1029,204
3.9291,748
2.7484,3565
2.3360,125
3.8327,3693
3.6346,3246
3.2459,122
3.0909,440
2.4913,458
3.7516,7121
3.7628,48617
2.6804,219
3.4055,2821
3.5481,447
3.9049,1009
2.9163,203
3.1250,320
3.4106,29909
2.9370,1428
1.7619,126
2.9876,11256
3.9311,1465
2.7273,2061
3.9068,601
3.7135,4495
4.0436,987
3.3954,5498
2.9831,296
3.5564,14120
3.6699,4532
3.2469,4217
2.8691,2681
2.8348,115
3.3618,1219
4.0479,1546
3.5422,3449
3.9889,2714
3.5554,10043
3.4783,138
2.8659,343
3.8146,3485
3.2727,165
3.0310,3712
3.2166,688
2.9252,107
3.7706,340
3.9341,25292
3.9737,36515
3.1667,90
3.5397,7534
2.8373,719
3.4176,91
3.2011,189
2.9889,90
3.3504,137
4.1655,1112
2.8942,2430
3.5493,426
3.9334,1833
3.7883,784
3.6788,2450
3.8744,116762
3.5465,355
3.4777,7271
2.1948,344
3.4688,544
4.0386,778
4.0927,2286
2.7561,82
2.9200,100
3.7486,362
3.5630,1055
3.5170,60415
2.7810,105
2.4456,579
4.0713,4500
3.0583,515
4.0334,23602
3.5984,3035
3.0019,1041
4.1327,2027
3.9639,2241
3.2599,431
3.8713,1772
2.5738,359
3.1037,376
3.7876,56504
3.4515,90010
3.5172,232
3.5611,1326
3.6508,3900
3.7076,277
3.6581,3247
3.5524,4826
2.8717,873
3.3681,288
2.9611,1723
2.6038,106
4.0015,27601
3.0983,539
